Scenario;Object Type;Object Name;Data Source;Category;Data Item;Statistic Type;Average;Minimum;Maximum;Half Width;Standard Deviation
Scenario 3;BridgeNode;LRP011;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP011a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP011b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP011c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP012;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP012a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP012b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP012c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP013;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP013a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP014;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP014a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP015;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP015a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP016;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP016a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP016b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP016c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP017;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP017a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP017b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP017c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP017d;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP018;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP018a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP018b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP018c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP019;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP019a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP019b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP020;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP020a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP020b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP020c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP021;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP021a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP021c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP022;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP022a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP022b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP022c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP022d;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP023;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP023a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP023c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP024;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP024a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP025;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP026;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP026a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP026b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP027;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP027a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP028;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP028a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP028b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP028c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP029;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP029a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP029b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP030;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP030a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP030b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP030c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP030d;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP031;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP031a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP031b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP031c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP032;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP032a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP032d;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP033;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP033a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP033b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP033c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP034;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP034a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP034c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP035;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP035a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP035b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP035c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP036;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP036a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP036c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP037;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP037a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP038;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP038a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP038b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP038c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP038d;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP038e;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP039;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP039a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP040;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP040b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP040c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP041;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP042;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP042a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP042b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP043;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP043a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;109,092847778555;0;1090,92847778555;246,768021675091;344,981875414274
Scenario 3;BridgeNode;LRP044;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP045;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP045a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP046;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP046a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;43,7982998857119;0;437,982998857119;99,0717543414804;138,502385281942
Scenario 3;BridgeNode;LRP046b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP046c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP047;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP047a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP048;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP048a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP048b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP049;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP049a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP050;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP050a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP050b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP051;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP051a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP052;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP052a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP053;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP053a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;83,1762290428587;0;417,476856305807;125,430907510481;175,352500758196
Scenario 3;BridgeNode;LRP054;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP055;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP056;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP056a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP056b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP056c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP057;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP058;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP058a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP059;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP059a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP060;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP060a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP061;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP061a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP062;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP063;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP063a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP063b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP063c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP064;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP064a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP064c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP065;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP066;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP066a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP067;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP067a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP068;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP068a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP069;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP070;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP070a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP070b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP071;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP072;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP072a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP072b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP073;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP074;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP075;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP075a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP076;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP076a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP077;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP077a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP078;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP079;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP079a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP080;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP081;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP081a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP082;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP082a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP083;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP083a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP083b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP084;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP084a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP084b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP085;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP086;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP087;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP088;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP088a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP089;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP089a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP089b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP089c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP090;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP091;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP092;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP092a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP093;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP093a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP093b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP093c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP094;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP094a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP095;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP095a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP095b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP096;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP097;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP098;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP098a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP099;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP099a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP099b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP100;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
