	Description	LRPNo	LRPType	LatitudeDec	LongitudeDec	Road	RoadChainage	replaced
28	Right to Syedpur (R113) left to Joydebpur N105)	LRP012c	Side Road, Right	23.6904163	90.546583	N1	11.936	
29	Ctg 247 km,Comilla 80 km	LRP013	Km Post	23.6865274	90.5504167	N1	12.524000000000001	
30	Box culvert	LRP013a	Culvert	23.6854997	90.5512778	N1	12.672	
31	Km post missing	LRP014	Km Post	23.678166	90.5556111	N1	13.524000000000001	
32	Km post missing	LRP015	Km Post	23.670916000000002	90.55977779999999	N1	14.524000000000001	
33	Box culvert	LRP015a	Culvert	23.6705827	90.5599722	N1	14.562999999999999	
34	Km post missing	LRP016	Km Post	23.662833300000003	90.56411109999999	N1	15.524000000000001	
35	Road to MinanbariZ1061)	LRP016a	Side Road, Right	23.6604167	90.5671104	N1	15.935	
36	Langalbandhu bridge	LRP016b	Bridge	23.6591111	90.5697216	N1	16.242	
37	Bridge end	LRP016c	Bridge	23.658305600000002	90.5709993	N1	16.402	
38	Km post missing	LRP017	Km Post	23.6575	90.57197159999998	N1	16.524	
39	Bridge start	LRP017a	Bridge	23.655972199999997	90.5743327	N1	16.831	
40	Bridge end	LRP017b	Bridge	23.6559167	90.5745271	N1	16.852	
41	Bridge start	LRP017c	Bridge	23.6540556	90.57727709999999	N1	17.204	
42	Bridge end	LRP017d	Bridge	23.6539167	90.5774993	N1	17.234	
43	Km post missing	LRP018	Km Post	23.6525278	90.5798882	N1	17.524	
44	Bridge start	LRP018a	Bridge	23.650888899999998	90.5826382	N1	17.863	
45	Bridge end	LRP018b	Bridge	23.6506944	90.5829993	N1	17.904	
46	Km post missing	LRP019	Km Post	23.647610800000002	90.588083	N1	18.524	
47	Box culvert	LRP019a	Culvert	23.644944100000004	90.5899163	N1	18.878	
48	Box culvert	LRP019b	Culvert	23.6397497	90.5926941	N1	19.521	
49	Km post missing	LRP020	Km Post	23.639694100000003	90.5927219	N1	19.524	
50	Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066)	LRP020a	Side Road, Left	23.6358608	90.5948052	N1	20.044	
51	Bridge start	LRP020b	Bridge	23.634110800000002	90.59702740000002	N1	20.342	
52	Bridge end	LRP020c	Bridge	23.6335552	90.5976941	N1	20.442	
53	Km post missing	LRP021	Km Post	23.6330549	90.59827740000001	N1	20.524	
54	Box culvert	LRP021a	Culvert	23.6262771	90.60422220000001	N1	21.499000000000002	
55	Ctg 238 km,Comilla 71 km	LRP022	Km Post	23.625221600000003	90.6049722	N1	21.629	
56	Bridge start	LRP022a	Bridge	23.624221600000002	90.60552779999999	N1	21.765	
57	Bridge end	LRP022b	Bridge	23.6224993	90.6066944	N1	21.993000000000002	
58	Bridge start	LRP022c	Bridge	23.620471600000002	90.6079722	N1	22.252	
59	Bridge end	LRP022d	Bridge	23.6195271	90.60858329999999	N1	22.374000000000002	
60	Km post missing	LRP023	Km Post	23.6173604	90.6096944	N1	22.629	
61	Meghna bridge	LRP023a	Bridge	23.6095556	90.6121944	N1	23.564	
62	Km post missing	LRP024	Km Post	23.609	90.61247220000001	N1	23.629	
63	Bridge end	LRP024a	Bridge	23.6018611	90.6159722	N1	24.503	
64	Km post missing	LRP025	Km Post	23.6009444	90.6165556	N1	24.629	
65	Km post missing	LRP026	Km Post	23.5959997	90.624666	N1	25.629	
66	Box culvert	LRP026a	Culvert	23.5959441	90.6246938	N1	25.639	
67	Box culvert	LRP026b	Culvert	23.5917497	90.6293327	N1	26.313000000000002	
68	Km post missing	LRP027	Km Post	23.5896108	90.6313882	N1	26.629	
69	Bridge start	LRP027a	Bridge	23.58622175	90.6369441	N1	27.503	True
70	Km post missing	LRP028	Km Post	23.582832699999997	90.6378886	N1	27.629	
71	Bridge end	LRP028a	Bridge	23.5825827	90.63813859999999	N1	27.668000000000003	
72	Bridge start	LRP028b	Bridge	23.577916000000002	90.6419719	N1	28.324	
73	Bridge end	LRP028c	Bridge	23.577610399999998	90.6421108	N1	28.363000000000003	
74	Information missing	LRP029	Km Post	23.5745271	90.6436941	N1	28.759	
75	Bridge start	LRP029a	Bridge	23.572166	90.6451108	N1	29.066999999999997	
76	Bridge end	LRP029b	Bridge	23.571832699999998	90.6453052	N1	29.113000000000003	
77	Km post missing	LRP030	Km Post	23.5666111	90.6481663	N1	29.759	
78	Bridge start	LRP030a	Bridge	23.5639167	90.6501944	N1	30.127	
79	Bridge end	LRP030b	Bridge	23.5636944	90.65047220000001	N1	30.165	
80	Bridge start	LRP030c	Bridge	23.560416699999998	90.6542222	N1	30.697	
81	Bridge end	LRP030d	Bridge	23.5602222	90.6545	N1	30.735	
82	Ctg 229 km,Comilla 62 km	LRP031	Km Post	23.559972199999997	90.6548056	N1	30.774	
83	Road to Gazara (Z1063)	LRP031a	Side Road, Right	23.559027800000003	90.6559444	N1	30.936	
84	Bridge start	LRP031b	Bridge	23.5564444	90.6588611	N1	31.348000000000003	
85	Bridge end	LRP031c	Bridge	23.556222199999997	90.6591389	N1	31.388	
86	Ctg 228 km,Comilla 61 km	LRP032	Km Post	23.5538056	90.66197220000001	N1	31.783	
87	Box culvert	LRP032a	Culvert	23.5523333	90.66366670000001	N1	32.025	
88	Ctg 227 km,Comilla 60 km	LRP033	Km Post	23.548749700000002	90.6678327	N1	32.607	
89	Bridge start	LRP033a	Bridge	23.5474163	90.6694438	N1	32.830999999999996	
90	Bridge end	LRP033b	Bridge	23.5469441	90.6699993	N1	32.908	
91	Box culvert	LRP033c	Culvert	23.544221899999997	90.6731104	N1	33.351	
92	Km post missing	LRP034	Km Post	23.542583	90.6749438	N1	33.607	
93	Km post missing	LRP035	Km Post	23.5362497	90.681916	N1	34.607	
94	Bridge start	LRP035a	Bridge	23.536082999999998	90.6821382	N1	34.641	
95	Bridge end	LRP035b	Bridge	23.535860800000002	90.68236040000001	N1	34.681	
96	Box culvert	LRP035c	Culvert	23.534138600000002	90.6843052	N1	34.955999999999996	
97	Km post missing	LRP036	Km Post	23.5301938	90.688833	N1	35.607	
98	Daudkandi bridge	LRP036a	Bridge	23.529916	90.6952219	N1	36.271	
99	Km post missing	LRP037	Km Post	23.5301382	90.6984997	N1	36.607	
100	Km post missing	LRP038	Km Post	23.5307493	90.70827779999999	N1	37.607	
101	Daudkandi bridge	LRP038a	Bridge	23.5307771	90.70902779999999	N1	37.685	
102	Start of Comilla road Division	LRP038b	Others	23.5313882	90.7153611	N1	38.04	
103	Start of Comilla road Division	LRP038b	Others	23.5313882	90.7153611	N1	38.04	
104	Road to Matlab (Z1062)	LRP038c	Side Road, Right	23.531471600000003	90.71722159999999	N1	38.466	
105	Bridge start	LRP038d	Bridge	23.5315271	90.7173604	N1	38.543	
106	Bridge end	LRP038e	Bridge	23.531582699999998	90.7176104	N1	38.56	
107	Km post missing	LRP039	Km Post	23.5317216	90.7180271	N1	38.607	
108	Box culvert	LRP039a	Culvert	23.5168049	90.72263819999999	N1	39.12	
109	Km post missing	LRP040	Km Post	23.532721600000002	90.7269993	N1	39.607	
110	Km post missing	LRP041	Km Post	23.528916	90.7356108	N1	40.607	
111	Ctg 214 km	LRP042	Km Post	23.528999300000002	90.7419441	N1	41.261	
112	Bridge start	LRP042a	Bridge	23.5293882	90.75141670000001	N1	42.228	
113	Bridge end	LRP042b	Bridge	23.5293882	90.7515833	N1	42.245	
114	Km post broken	LRP043	Km Post	23.529416	90.75175	N1	42.269	
115	Km post Missing	LRP044	Km Post	23.5299993	90.7615	N1	43.269	
116	Km post Missing	LRP045	Km Post	23.5304438	90.77130490000002	N1	44.269	
117	Box culvert	LRP045a	Culvert	23.530499300000002	90.77311040000001	N1	44.45399999999999	
118	Km post Missing	LRP046	Km Post	23.5308049	90.7811104	N1	45.269	
119	Z1402, road to Pennai	LRP046a	Side Road, Right	23.5307493	90.7816104	N1	45.321999999999996	
120	Z1053, Road to Homna	LRP046b	Side Road, Left	23.530666	90.7821938	N1	45.388000000000005	
121	Box culvert	LRP046c	Culvert	23.531221600000002	90.78955520000001	N1	46.161	
122	Km post Missing	LRP047	Km Post	23.531166	90.79072190000001	N1	46.269	
123	Z1044	LRP047a	Side Road, Right	23.530693799999998	90.7924441	N1	47.224	
124	Km post Missing	LRP048	Km Post	23.530860399999998	90.80022220000001	N1	47.269	
125	Bridge start	LRP048a	Bridge	23.5308882	90.80413890000001	N1	47.672	
126	Bridge end	LRP048b	Bridge	23.530916	90.8043611	N1	47.692	
127	Km post Missing	LRP049	Km Post	23.5316382	90.8099167	N1	48.269	
128	Km post Missing	LRP050	Km Post	23.5332493	90.81947159999999	N1	49.269	
129	Bridge start	LRP050a	Bridge	23.5346663	90.82497159999998	N1	49.863	
130	Bridge end	LRP050b	Bridge	23.534721899999997	90.8251104	N1	49.879	
131	Km post Missing	LRP051	Km Post	23.5344997	90.8287216	N1	50.269	
132	Km post Missing	LRP052	Km Post	23.529221600000003	90.83652740000001	N1	51.269	
133	Box culvert	LRP052a	Culvert	23.5270549	90.8391386	N1	51.636	
134	Km post Missing	LRP053	Km Post	23.523166	90.8438886	N1	52.269	
135	Km post Missing	LRP054	Km Post	23.5174993	90.8513889	N1	53.269	
136	Km post Missing	LRP055	Km Post	23.5170827	90.8607778	N1	54.269	
137	Km post Missing	LRP056	Km Post	23.5135833	90.8697771	N1	55.269	
138	Bridge start	LRP056a	Bridge	23.513305600000002	90.87030490000001	N1	55.333	
139	Bridge end	LRP056b	Bridge	23.5131111	90.8706382	N1	55.375	
140	Z1042, road to Bancharampur	LRP056c	Side Road, Left	23.512666699999997	90.871416	N1	55.477	
141	Km post Missing	LRP057	Km Post	23.508805600000002	90.8778604	N1	56.269	
142	Km post Missing	LRP058	Km Post	23.506	90.8869163	N1	57.269	
143	Box culvert	LRP058a	Culvert	23.5056111	90.89588859999999	N1	58.191	
144	Km post Missing	LRP059	Km Post	23.5056389	90.8966108	N1	58.269	
145	Km post Missing	LRP060	Km Post	23.506277800000003	90.90638890000001	N1	59.269	
146	Box culvert	LRP060a	Culvert	23.50575	90.91525	N1	60.18	
147	Km post Missing	LRP061	Km Post	23.505722199999997	90.9160278	N1	60.269	
148	Km post Missing	LRP062	Km Post	23.505527800000003	90.92572159999999	N1	61.269	
149	Km post Missing	LRP063	Km Post	23.5042778	90.9354163	N1	62.269	
150	Z1017, Road to Companiganj	LRP063a	Side Road, Left	23.504333300000003	90.93547190000001	N1	62.278	
151	Box culvert	LRP063b	Culvert	23.5038611	90.9371386	N1	62.542	
152	Box culvert	LRP063c	Culvert	23.5028611	90.9412774	N1	62.894	
153	Km post Missing	LRP064	Km Post	23.5020278	90.9448886	N1	63.269	
154	Km post Missing	LRP065	Km Post	23.5003332	90.9541667	N1	64.26899999999999	True
155	Km post Missing	LRP066	Km Post	23.498638600000003	90.96511109999999	N1	65.26899999999999	
156	Box culvert	LRP066a	Culvert	23.4980552	90.96602779999999	N1	65.543	
157	Ctg 191 km	LRP067	Km Post	23.497277399999998	90.9674716	N1	65.726	
158	Km post Missing	LRP068	Km Post	23.4942219	90.97655490000001	N1	66.726	
159	Box culvert	LRP068a	Culvert	23.495138600000004	90.9829993	N1	67.42	
160	Km post Missing	LRP069	Km Post	23.4942497	90.985833	N1	67.726	
161	Km post Missing	LRP070	Km Post	23.491138600000003	90.99502740000001	N1	68.726	
162	Road to Debiduar (Z1008)	LRP070a	Side Road, Left	23.489444100000004	91.0033056	N1	69.616	
163	Road to Jhalam (Z1022)	LRP070b	Side Road, Right	23.4893886	91.0034722	N1	69.638	
164	Ctg 188 km	LRP071	Km Post	23.4896108	91.0043056	N1	69.709	
165	Ctg 188 km,Comilla 20 km	LRP072	Km Post	23.4893052	91.01127779999999	N1	70.443	
166	Bridge start	LRP072a	Bridge	23.4890552	91.0120278	N1	70.527	
167	Bridge end	LRP072b	Bridge	23.4889441	91.01225	N1	70.557	
168	Ctg 187 km	LRP073	Km Post	23.488332999999997	91.0140833	N1	70.755	
169	Km post missing	LRP074	Km Post	23.484638600000004	91.0229438	N1	71.775	
170	Km post missing	LRP075	Km Post	23.4827771	91.03213819999999	N1	72.775	
171	Box culvert	LRP075a	Culvert	23.481166	91.0404441	N1	73.688	
172	Ctg 184 km	LRP076	Km Post	23.481471600000003	91.04197190000001	N1	73.829	
173	Box culvert	LRP076a	Culvert	23.4820827	91.0504167	N1	74.7	
174	Km post missing	LRP077	Km Post	23.482138199999998	91.0516944	N1	74.829	
175	Road to Khangsanagar (Z1219) left road to Barua Z1028 right	LRP077a	Side Road, Left	23.4815271	91.0590278	N1	75.589	
176	Km post missing	LRP078	Km Post	23.4815549	91.06136109999998	N1	75.829	
177	Km post missing	LRP079	Km Post	23.4801104	91.0706382	N1	76.829	
178	Box culvert	LRP079a	Culvert	23.4770827	91.0789993	N1	77.773	
179	Km post missing	LRP080	Km Post	23.4770271	91.07947159999999	N1	77.829	
180	Km post missing	LRP081	Km Post	23.4781938	91.0889997	N1	78.829	
181	Km post missing	LRP082	Km Post	23.4775549	91.09866629999999	N1	79.829	
182	Box culvert	LRP082a	Culvert	23.4778604	91.1036111	N1	80.342	
183	Km post missing	LRP083	Km Post	23.4779993	91.10552779999999	N1	80.829	
184	Box culvert	LRP083a	Culvert	23.4789438	91.1177216	N1	81.801	
185	Km post missing	LRP084	Km Post	23.4789716	91.11799930000001	N1	81.829	
186	Road to Brahmanbaria(N102)	LRP084a	Side Road, Left	23.4789716	91.118166	N1	81.846	
187	Box culvert	LRP084b	Culvert	23.4793327	91.12347159999999	N1	82.39299999999999	
188	Km post missing	LRP085	Km Post	23.4800827	91.12763819999999	N1	82.829	
189	Km post missing	LRP086	Km Post	23.4767216	91.1364441	N1	83.829	
190	Km post missing	LRP087	Km Post	23.468221600000003	91.1394441	N1	84.829	
191	Km post missing	LRP088	Km Post	23.459583300000002	91.1421386	N1	85.829	
192	Cross road Z1029	LRP088a	Cross Road	23.459	91.142333	N1	85.897	
193	Km post missing	LRP089	Km Post	23.4513056	91.1460552	N1	86.829	
194	Bridge start	LRP089a	Bridge	23.448833	91.14713859999999	N1	87.132	
195	Bridge end	LRP089b	Bridge	23.448638600000002	91.1472497	N1	87.156	
196	Cross Road with Z1052	LRP089c	Cross Road	23.446944100000003	91.1481386	N1	87.366	
197	Km post missing	LRP090	Km Post	23.442527399999996	91.1497774	N1	87.829	
198	Ctg 170 km	LRP091	Km Post	23.437388600000002	91.1521944	N1	88.51299999999999	
199	Km post missing	LRP092	Km Post	23.4288882	91.1553889	N1	89.51299999999999	
200	Ctg 168 km	LRP093	Km Post	23.4236938	91.1626944	N1	90.493	
201	Bridge start	LRP093a	Bridge	23.4235827	91.16297220000001	N1	90.521	
202	Bridge end	LRP093b	Bridge	23.423416	91.16327779999999	N1	90.55799999999999	
203	Rail Road Crossing	LRP093c	Rail Road Crossing	23.421360399999998	91.167666	N1	91.066	
204	Km post missing	LRP094	Km Post	23.4195271	91.17141600000001	N1	91.493	
205	Left to Comilla Right to Noakhali	LRP094a	Cross Road	23.4191382	91.1721938	N1	91.583	
206	Ctg 66 km,Feni 52 km	LRP095	Km Post	23.4149444	91.1801382	N1	92.12100000000001	
207	Bridge start	LRP095a	Bridge	23.413111100000002	91.18466629999999	N1	92.632	
208	Bridge end	LRP095b	Bridge	23.4130556	91.1849163	N1	92.66	
209	Km post missing	LRP096	Km Post	23.4125	91.1893886	N1	93.12100000000001	
210	Ctg 164 km	LRP097	Km Post	23.411305600000002	91.19888859999999	N1	94.12899999999999	
211	Ctg 163 km	LRP098	Km Post	23.4100833	91.2087778	N1	95.156	
212	Box culvert	LRP098a	Culvert	23.4100278	91.2090833	N1	95.193	
213	Ctg 162 km	LRP099	Km Post	23.4048056	91.2165278	N1	96.17299999999999	
214	Bridge start	LRP099a	Bridge	23.40375	91.2176382	N1	96.345	
215	Bridge end	LRP099b	Bridge	23.4035556	91.21780490000002	N1	96.374	
216	Km post missing	LRP100	Km Post	23.4151111	91.2232493	N1	97.17299999999999	
217	Km post missing	LRP101	Km Post	23.391527399999998	91.2292493	N1	98.17299999999999	
218	Box culvert	LRP101a	Culvert	23.3914441	91.22930490000002	N1	98.18299999999999	
219	Box culvert	LRP101b	Culvert	23.385082999999998	91.2345552	N1	99.075	
220	Box culvert	LRP101c	Culvert	23.3849719	91.2346108	N1	99.09	
221	Km post missing	LRP102	Km Post	23.3843886	91.2351108	N1	99.17299999999999	
222	Bridge start	LRP102a	Bridge	23.377971600000002	91.2403608	N1	100.071	
223	Bridge end	LRP102b	Bridge	23.3777493	91.2405274	N1	100.101	
224	Km post missing	LRP103	Km Post	23.377166	91.2409163	N1	100.17299999999999	
225	Km post missing	LRP104	Km Post	23.3695827	91.24627740000001	N1	101.17299999999999	
226	Box culvert	LRP104a	Culvert	23.3683327	91.2471108	N1	101.344	
227	Ctg 156 km,Feni 43 km	LRP105	Km Post	23.3615278	91.2515556	N1	102.24799999999999	
228	Bridge start	LRP105a	Bridge	23.3586389	91.25325	N1	102.61399999999999	
229	Bridge end	LRP105b	Bridge	23.3584444	91.2533333	N1	102.63799999999999	
230	Km post missing	LRP106	Km Post	23.3536944	91.25613890000001	N1	103.24799999999999	
231	Box culvert	LRP106a	Culvert	23.3486386	91.2599444	N1	103.935	
232	Km post missing	LRP107	Km Post	23.3463608	91.2616944	N1	104.24799999999999	
233	Km post missing	LRP108	Km Post	23.3411941	91.26722159999998	N1	105.24799999999999	True
234	Bridge start	LRP108a	Bridge	23.3360274	91.2700549	N1	105.69200000000001	
235	Bridge end	LRP108b	Bridge	23.3357219	91.27030490000001	N1	105.736	
236	Road to Harishchar (Z1046)	LRP108c	Side Road, Right	23.334721899999998	91.27116600000001	N1	105.87899999999999	
237	Km post missing	LRP109	Km Post	23.3321938	91.2734716	N1	106.24799999999999	
238	Km post missing	LRP110	Km Post	23.3246382	91.278666	N1	107.24799999999999	
239	Bridge start	LRP110a	Bridge	23.324166	91.27911040000001	N1	107.321	
240	Bridge end	LRP110b	Bridge	23.324082699999998	91.279166	N1	107.331	
241	Km post missing	LRP111	Km Post	23.3171382	91.2836941	N1	108.24799999999999	
242	Bridge start	LRP111a	Bridge	23.314944399999998	91.2844719	N1	108.51799999999999	
243	Bridge end	LRP111b	Bridge	23.31475	91.2845552	N1	108.537	
244	Box culvert	LRP111c	Culvert	23.3096389	91.2861386	N1	109.135	
245	Km post missing	LRP112	Km Post	23.3086944	91.2864163	N1	109.24799999999999	
246	Box culvert	LRP112a	Culvert	23.30425	91.288583	N1	109.795	
247	Km post missing	LRP113	Km Post	23.3006111	91.29033299999999	N1	110.24799999999999	
248	Bridge start	LRP113a	Bridge	23.296083	91.2914997	N1	110.76700000000001	
249	Bridge end	LRP113b	Bridge	23.295971899999998	91.2915274	N1	110.781	
250	Km post missing	LRP114	Km Post	23.2919163	91.2922219	N1	111.24799999999999	
251	Box culvert	LRP114a	Culvert	23.2876663	91.2936386	N1	111.75	
252	Km post missing	LRP115	Km Post	23.283583	91.2952219	N1	112.24799999999999	
253	Box culvert	LRP115a	Culvert	23.2787216	91.30027779999999	N1	113.022	
254	Km post missing	LRP116	Km Post	23.2768882	91.3011944	N1	113.24799999999999	
255	Km post missing	LRP117	Km Post	23.268638199999998	91.30497220000001	N1	114.24799999999999	
256	Box culvert	LRP117a	Culvert	23.267749300000002	91.30547220000001	N1	114.36399999999999	
257	Box culvert	LRP117b	Culvert	23.2654444	91.3064444	N1	114.641	
258	Box culvert	LRP117c	Culvert	23.263666699999998	91.30675	N1	114.844	
259	Km post missing	LRP118	Km Post	23.2601111	91.3072778	N1	115.24799999999999	
260	Box culvert	LRP118a	Culvert	23.258722199999998	91.30744440000001	N1	115.404	
261	Km post missing	LRP119	Km Post	23.2511944	91.3086389	N1	116.24799999999999	
262	Box culvert	LRP119a	Culvert	23.249833	91.3091944	N1	116.42200000000001	
263	Bridge start	LRP119b	Bridge	23.248333	91.3098056	N1	116.60799999999999	
264	Bridge end	LRP119c	Bridge	23.2481663	91.3098889	N1	116.631	
265	Box culvert	LRP119d	Culvert	23.2452774	91.3110556	N1	116.978	
266	Km post missing	LRP120	Km Post	23.243083	91.3119167	N1	117.24799999999999	
267	Box culvert	LRP120a	Culvert	23.241694100000004	91.31236109999999	N1	117.411	
268	Box culvert	LRP120b	Culvert	23.2344997	91.3131667	N1	118.228	
269	Km post missing	LRP121	Km Post	23.234305199999998	91.3131667	N1	118.24799999999999	
270	Box culvert	LRP121a	Culvert	23.231499300000003	91.31322220000001	N1	118.56299999999999	
271	Box culvert	LRP121b	Culvert	23.2275549	91.31352779999999	N1	119.01100000000001	
272	Km post missing	LRP122	Km Post	23.225388199999998	91.3135833	N1	119.24799999999999	
273	Road to Bangadda (Z1045)	LRP122a	Side Road, Right	23.221416	91.3137222	N1	119.698	
274	Box culvert	LRP122b	Culvert	23.2184993	91.31438890000001	N1	120.02600000000001	
275	Km post missing	LRP123	Km Post	23.2165556	91.3149167	N1	120.24799999999999	
276	Box culvert	LRP123a	Culvert	23.2103056	91.31572220000001	N1	120.96600000000001	
277	Km post missing	LRP124	Km Post	23.2078889	91.3159722	N1	121.24799999999999	
278	Box culvert	LRP124a	Culvert	23.201	91.31680490000001	N1	122.01899999999999	
279	Km post missing	LRP125	Km Post	23.1990274	91.31705490000002	N1	122.24799999999999	
280	Box culvert	LRP125a	Culvert	23.192110800000002	91.31855490000001	N1	123.113	
281	Km post missing	LRP126	Km Post	23.1909997	91.3192493	N1	123.24799999999999	
282	Bridge start	LRP126a	Bridge	23.1866941	91.3212493	N1	123.771	
283	Bridge end	LRP126b	Bridge	23.1866108	91.32127709999999	N1	123.78299999999999	
284	Km post missing	LRP127	Km Post	23.1826382	91.3210827	N1	124.24799999999999	
285	Box culvert	LRP127a	Culvert	23.177360399999998	91.31980490000001	N1	124.86200000000001	
286	Ctg 133 km	LRP128	Km Post	23.172916	91.32052709999999	N1	125.37700000000001	
287	Bridge start	LRP128a	Bridge	23.168138199999998	91.3213604	N1	125.92299999999999	
288	Bridge end	LRP128b	Bridge	23.1680549	91.3213604	N1	125.93700000000001	
289	Km post missing	LRP129	Km Post	23.1641389	91.3214993	N1	126.37700000000001	
290	Box culvert	LRP129a	Culvert	23.157166699999998	91.3224993	N1	127.169	
291	Km post missing	LRP130	Km Post	23.1554167	91.3232771	N1	127.37700000000001	
292	Road to Nangolhat (Z1048)	LRP130a	Side Road, Right	23.1496941	91.3254993	N1	128.009	
293	Box culvert	LRP130b	Culvert	23.148027399999997	91.3264993	N1	128.278	
294	Km post missing	LRP131	Km Post	23.1471663	91.3266938	N1	128.377	
295	Box culvert	LRP131a	Culvert	23.1433886	91.326666	N1	128.798	
296	Km post missing	LRP132	Km Post	23.138221899999998	91.32630490000001	N1	129.377	
297	Box culvert	LRP132a	Culvert	23.1374163	91.32647159999999	N1	129.47899999999998	
298	Km post missing	LRP133	Km Post	23.1295827	91.3284993	N1	130.377	
299	Box culvert	LRP133a	Culvert	23.129082699999998	91.3287216	N1	130.447	
300	Box culvert	LRP133b	Culvert	23.123499300000002	91.3311382	N1	131.122	
301	Km post missing	LRP134	Km Post	23.1213327	91.33205490000002	N1	131.377	
302	Box culvert	LRP134a	Culvert	23.1193049	91.3329993	N1	131.625	
303	Ctg 127 km,Feni 16 km	LRP135	Km Post	23.1191382	91.3330827	N1	131.653	
304	Km post missing	LRP136	Km Post	23.1113611	91.3378052	N1	132.653	
305	Box culvert	LRP136a	Culvert	23.110805600000003	91.3381386	N1	132.72799999999998	
306	Box culvert	LRP136b	Culvert	23.105111100000002	91.3413608	N1	133.44799999999998	
307	Km post missing	LRP137	Km Post	23.1035	91.3422497	N1	133.653	
308	Box culvert	LRP137a	Culvert	23.1005833	91.34377740000001	N1	134.02100000000002	
309	Box culvert	LRP137b	Culvert	23.0961941	91.3461108	N1	134.571	
310	Km post missing	LRP138	Km Post	23.095582999999998	91.3464441	N1	134.653	
311	Box culvert	LRP138a	Culvert	23.0901108	91.34941629999999	N1	135.341	
312	Km post missing	LRP139	Km Post	23.0876108	91.35088890000002	N1	135.653	
313	Box culvertt	LRP139a	Culvert	23.0849719	91.35247220000001	N1	135.998	
314	Bridge start	LRP139b	Bridge	23.0808049	91.3548611	N1	136.525	
315	Bridge end	LRP139c	Bridge	23.0806938	91.35494440000001	N1	136.542	
316	Ctg 122 km	LRP140	Km Post	23.0792493	91.3558333	N1	136.735	
317	Box culvert	LRP140a	Culvert	23.0732493	91.3594167	N1	137.501	
318	Km post missing	LRP141	Km Post	23.0712493	91.3599722	N1	137.735	
319	Start of Feni road Division	LRP141a	Others	23.0688604	91.36072220000001	N1	138.01	
320	Start of Feni road Division	LRP141a	Others	23.0688604	91.36072220000001	N1	138.01	
321	Box Culvert	LRP141b	Culvert	23.0636944	91.3616389	N1	138.621	
322	Ctg 103 km	LRP142	Km Post	23.063527800000003	91.3616389	N1	138.639	
323	Road to Karerhat (Z1031)	LRP142a	Side Road, Right	23.061472199999997	91.3616667	N1	138.869	
324	Ctg 102 km	LRP143	Km Post	23.0538611	91.36372220000001	N1	139.751	
325	Z1031	LRP143a	Cross Road	23.047944100000002	91.3651389	N1	140.251	
326	Ctg 101 km	LRP144	Km Post	23.044971899999997	91.36536109999999	N1	140.77200000000002	
327	Box culvert	LRP144a	Culvert	23.0427774	91.3654444	N1	140.968	
