,Unnamed: 0,Road_Name,Link_No,Link_Name,Start LRP,Start Offset,Start_Chainage,End LRP,End Offset,End_Chainage,Link_Length,Economic_Traffic,No_Lanes,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized Total,Non Motorized Total,Total Traffic,Total_A,Total_B,Total_C,Total_D,segment_vulnerability,segment_vulnerability_length
10,19,N1,N1-11,Daudkandi Bridge- Daudkandi Z1062 (Left),LRP033,3664,36.271,LRP033,5859,38.466,2.195,154865.5,4.608656036,64.98640767,1118.872825,230.11046859999996,371.0409253,152.97301299999998,359.10686039999996,86.68470739,444.5981613,269.49288260000003,46.00039541,7.377421906,35.47672005,0.0,3143.866647,42.85414195,3186.720789,1,0,1,0,0.052500000000000005,
11,21,N1,N1-12,Daudkandi Z1062 - Pennai Z1053 (Left),LRP033,5859,38.466,LRP043,3119,45.388000000000005,6.922000000000001,146249.5,5.047963016000001,70.02824681,962.0712322999999,176.2096903,323.2987236,118.6617251,138.0754965,78.74463396,215.4334325,157.09306850000002,32.68645183,6.933489783,25.05961307,0.0,2272.302702,31.99310286,2304.295804,0,1,5,0,0.25375000000000003,
12,23,N1,N1-13,Pennai Z1053- Gouripur (Int.with Z1044) (Left),LRP043,3119,45.388000000000005,LRP043,4955,47.224,1.8359999999999999,146249.5,6.0,58.91666667,809.4166667000001,148.25,272.0,99.83333333,116.16666670000001,66.25,181.25,132.1666667,27.5,5.833333333,21.08333333,0.0,1911.75,26.91666667,1938.6666670000002,0,0,1,0,0.04750000000000001,
13,25,N1,N1-14,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left),LRP043,4955,47.224,LRP043,13208,55.477,8.253,146249.5,6.0,58.91666667,809.4166667000001,148.25,272.0,99.83333333,116.16666670000001,66.25,181.25,132.1666667,27.5,5.833333333,21.08333333,0.0,1911.75,26.91666667,1938.6666670000002,2,0,2,0,0.10500000000000001,
14,27,N1,N1-15,Eliotganj Z1042- Madhaya Z1017 (Left),LRP043,13208,55.477,LRP043,20009,62.278,6.801,146249.5,6.0,58.91666667,809.4166667000001,148.25,272.0,99.83333333,116.16666670000001,66.25,181.25,132.1666667,27.5,5.833333333,21.08333333,0.0,1911.75,26.91666667,1938.6666670000002,0,3,1,0,0.09625,
15,29,N1,N1-16,Madhaya Z1017 - Chandina Z1022 (Left),LRP043,20009,62.278,LRP067,3912,69.638,7.36,146249.5,6.0,58.91666667,809.4166667000001,148.25,272.0,99.83333333,116.16666670000001,66.25,181.25,132.1666667,27.5,5.833333333,21.08333333,0.0,1911.75,26.91666667,1938.6666670000002,2,2,0,0,0.0425,
16,31,N1,N1-17,Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) (Left),LRP067,3912,69.638,LRP076,1760,75.589,5.9510000000000005,156929,6.0,53.66666667,904.8333332999998,120.25,307.25,77.33333333,166.33333330000002,67.33333333,188.08333330000002,325.25,92.41666667,18.66666667,29.83333333,0.0,2302.75,48.5,2351.25,0,2,2,0,0.1275,
17,33,N1,N1-18,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Left),LRP076,1760,75.589,LRP076,8017,81.846,6.257000000000001,156929,6.0,53.66666667,904.8333332999998,120.25,307.25,77.33333333,166.33333330000002,67.33333333,188.08333330000002,325.25,92.41666667,18.66666667,29.83333333,0.0,2302.75,48.5,2351.25,1,1,1,0,0.06875,
18,35,N1,N1-19,Mainamati N102- Int.with Z1029 (Left),LRP076,8017,81.846,LRP076,12068,85.897,4.051,156929,6.0,53.66666667,904.8333332999998,120.25,307.25,77.33333333,166.33333330000002,67.33333333,188.08333330000002,325.25,92.41666667,18.66666667,29.83333333,0.0,2302.75,48.5,2351.25,2,0,0,0,0.010000000000000002,
19,37,N1,N1-20,Int.with Z1029 - Int.with Z1052 (Left),LRP076,12068,85.897,LRP076,13537,87.366,1.469,156929,6.0,53.66666667,904.8333332999998,120.25,307.25,77.33333333,166.33333330000002,67.33333333,188.08333330000002,325.25,92.41666667,18.66666667,29.83333333,0.0,2302.75,48.5,2351.25,0,0,0,0,0.0,
20,39,N1,N1-21,Int.with Z1052 - Changani (Kotbari) (Left),LRP076,13537,87.366,LRP091,897,89.41,2.044,163706.5,6.0,51.25,943.5833332999998,134.83333330000002,221.83333330000002,52.33333333,86.5,44.91666667,129.75,236.75,62.83333333,11.33333333,23.91666667,0.0,1964.5833329999998,35.25,1999.8333329999998,1,0,1,0,0.052500000000000005,
21,41,N1,N1-22,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Left),LRP091,897,89.41,LRP093,1090,91.583,2.173,163706.5,6.0,51.25,943.5833332999998,134.83333330000002,221.83333330000002,52.33333333,86.5,44.91666667,129.75,236.75,62.83333333,11.33333333,23.91666667,0.0,1964.5833329999998,35.25,1999.8333329999998,0,1,1,0,0.06375,
22,43,N1,N1-23,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left),LRP093,1090,91.583,LRP105,3631,105.87899999999999,14.296,163706.5,6.0,51.25,943.5833332999998,134.83333330000002,221.83333330000002,52.33333333,86.5,44.91666667,129.75,236.75,62.83333333,11.33333333,23.91666667,0.0,1964.5833329999998,35.25,1999.8333329999998,4,1,4,0,0.22625000000000003,
23,45,N1,N1-24,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left),LRP105,3631,105.87899999999999,LRP105,17450,119.698,13.819,163706.5,6.0,51.25,943.5833332999998,134.83333330000002,221.83333330000002,52.33333333,86.5,44.91666667,129.75,236.75,62.83333333,11.33333333,23.91666667,0.0,1964.5833329999998,35.25,1999.8333329999998,7,12,0,0,0.23,
24,47,N1,N1-25,Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Left),LRP105,17450,119.698,LRP142,230,138.869,19.171,117479.5,6.0,71.41666667,612.75,132.4166667,128.4166667,51.5,113.5,46.41666667,91.41666667,140.75,56.41666667,5.75,19.66666667,0.0,1445.0,25.41666667,1470.416667,7,14,1,0,0.31,
25,49,N1,N1-26,Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Left),LRP142,230,138.869,LRP143,500,140.251,1.382,117479.5,6.0,71.41666667,612.75,132.4166667,128.4166667,51.5,113.5,46.41666667,91.41666667,140.75,56.41666667,5.75,19.66666667,0.0,1445.0,25.41666667,1470.416667,0,1,0,0,0.01625,
26,51,N1,N1-27,Int.with Z1031 - Elahiganj (Feni) Z1030 (Left),LRP143,500,140.251,LRP146,240,143.034,2.783,159682,6.0,112.83333329999999,800.6666667000001,200.75,346.4166667,104.58333329999999,162.91666669999998,38.75,127.41666670000001,240.66666669999998,63.08333333,20.0,38.58333333,0.0,2198.083333,58.58333333,2256.666667,2,0,0,0,0.010000000000000002,
27,53,N1,N1-28,Elahiganj (Feni) Z1030- Feni (Int.with N104) (Left),LRP146,240,143.034,LRP147,1614,145.409,2.375,159682,6.0,112.83333329999999,800.6666667000001,200.75,346.4166667,104.58333329999999,162.91666669999998,38.75,127.41666670000001,240.66666669999998,63.08333333,20.0,38.58333333,0.0,2198.083333,58.58333333,2256.666667,1,0,0,0,0.005000000000000001,
28,55,N1,N1-29,Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Left),LRP147,1614,145.409,LRP152,448,149.289,3.88,180224.5,6.0,58.75,960.9166667000002,265.75,265.8333333,108.25,193.83333330000002,53.33333333,170.91666669999998,209.83333330000002,68.66666667,15.41666667,32.91666667,0.0,2356.083333,48.33333333,2404.416667,4,1,0,0,0.036250000000000004,
29,57,N1,N1-30,Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) (Left),LRP152,448,149.289,LRP160,738,157.685,8.396,156143.5,6.0,69.16666667,841.5833332999998,181.83333330000002,261.0833333,44.33333333,115.66666670000001,43.08333333,150.5,140.58333330000002,32.83333333,35.33333333,27.41666667,0.0,1880.6666670000002,62.75,1943.4166670000002,0,1,1,0,0.06375,
30,59,N1,N1-31,Fazilpur Z1081 - Muhuriganj Z1032 (Left),LRP160,738,157.685,LRP164,619,161.582,3.897,180224.5,6.0,58.75,960.9166667000002,265.75,265.8333333,108.25,193.83333330000002,53.33333333,170.91666669999998,209.83333330000002,68.66666667,15.41666667,32.91666667,0.0,2356.083333,48.33333333,2404.416667,1,2,0,0,0.037500000000000006,
31,61,N1,N1-32,Muhuriganj Z1032-Baraiyerhat R151 (Left),LRP164,619,161.582,LRP164,6720,167.683,6.101,127004,6.0,61.83333333,664.3333332999999,169.0,222.58333330000002,88.75,126.41666670000001,49.66666667,128.3333333,379.25,55.25,15.33333333,44.41666667,0.0,1945.4166670000002,59.75,2005.1666670000002,3,1,0,0,0.03125,
32,63,N1,N1-33,Baraiyerhat R151- Mirersarai Z1021 (Left),LRP164,6720,167.683,LRP164,20501,181.46400000000003,13.780999999999999,127004,6.0,61.83333333,664.3333332999999,169.0,222.58333330000002,88.75,126.41666670000001,49.66666667,128.3333333,379.25,55.25,15.33333333,44.41666667,0.0,1945.4166670000002,59.75,2005.1666670000002,15,2,1,0,0.15500000000000003,
33,65,N1,N1-34,Mirersarai Z1021 - Baroirdala Z1086 (Left),LRP164,20501,181.46400000000003,LRP197,1120,194.60299999999998,13.139000000000001,127004,6.0,61.83333333,664.3333332999999,169.0,222.58333330000002,88.75,126.41666670000001,49.66666667,128.3333333,379.25,55.25,15.33333333,44.41666667,0.0,1945.4166670000002,59.75,2005.1666670000002,12,1,1,0,0.12375000000000003,
34,67,N1,N1-35,Baroirdala Z1086- Barabkunda Z1087 (Left),LRP197,1120,194.60299999999998,LRP209,486,206.40200000000002,11.799000000000001,183305.5,6.0,183.58333330000002,870.75,204.66666669999998,262.25,101.25,143.66666669999998,39.75,133.8333333,466.58333330000005,72.16666667,16.83333333,53.16666667,0.0,2478.5,70.0,2548.5,17,3,1,0,0.18125000000000005,
35,69,N1,N1-36,Barabkunda Z1087-Fouzderhat Z1016 (Left),LRP209,486,206.40200000000002,LRP225,6400,228.40599999999998,22.004,183305.5,6.0,183.58333330000002,870.75,204.66666669999998,262.25,101.25,143.66666669999998,39.75,133.8333333,466.58333330000005,72.16666667,16.83333333,53.16666667,0.0,2478.5,70.0,2548.5,18,6,2,2,0.5725,
36,71,N1,N1-37,Fouzderhat Z1016 - Alonker Cinema Hall (Chittagong),LRP225,6400,228.40599999999998,LRP225,10748,232.75400000000002,4.348,41183,6.717571297,3.1261298269999998,164.4939743,120.28156670000001,133.67926599999998,92.4441249,146.9281019,28.87948507,103.31114759999998,445.6967954,86.48959189,32.89879485,63.4157765,0.0,1325.330184,96.31457135,1421.644755,5,0,0,0,0.025000000000000005,
37,72,N1,N1-38,Chittagong (Badderhat)-Maizzertek int with Z1804,LRP225,10748,232.75400000000002,LRP251,496,247.893,15.139000000000001,41183,1.245789022,16.85678685,886.9880699999999,648.5849417000001,720.8283138999999,498.4792683,792.268982,155.72460230000002,557.0766702000001,2403.296182,466.3711029,177.39761399999998,341.95196180000005,0.0,7146.474920000001,519.3495758,7665.824495999999,4,3,6,0,0.35375,
38,73,N1,N1-39,Maizzertek Int with Z1804-Sikolbaha Int with Z1018,LRP251,496,247.893,LRP251,3048,250.445,2.552,41183,2.0,10.5,552.5,404.0,449.0,310.5,493.5,97.0,347.0,1497.0,290.5,110.5,213.0,0.0,4451.5,323.5,4775.0,3,1,1,0,0.07875000000000001,
39,74,N1,N1-40,Sikolbaha Int with Z1018-Santirhat Int. with Z1071,LRP251,3048,250.445,LRP251,5559,252.956,2.511,41183,2.0,10.5,552.5,404.0,449.0,310.5,493.5,97.0,347.0,1497.0,290.5,110.5,213.0,0.0,4451.5,323.5,4775.0,4,1,1,0,0.08375000000000002,
40,75,N1,N1-41,Santirhat Int. with Z1071 - Int. with Z1070,LRP251,5559,252.956,LRP259,726,255.725,2.7689999999999997,41183,2.0,10.5,552.5,404.0,449.0,310.5,493.5,97.0,347.0,1497.0,290.5,110.5,213.0,0.0,4451.5,323.5,4775.0,2,2,0,0,0.0425,
41,76,N1,N1-42,Int. with Z1070 - Mansertek(Int.with N107),LRP259,726,255.725,LRP259,1810,256.809,1.084,40545,2.0,15.0,538.5,397.5,497.0,329.0,741.5,152.5,329.0,1562.5,268.0,103.5,120.0,3.5,4830.5,227.0,5057.5,1,0,0,0,0.005000000000000001,
42,77,N1,N1-43,Mansertek(Int.with N107)- Patiya (Int.with Z1059),LRP259,1810,256.809,LRP264,3734,263.744,6.935,40545,2.0,15.0,538.5,397.5,497.0,329.0,741.5,152.5,329.0,1562.5,268.0,103.5,120.0,3.5,4830.5,227.0,5057.5,3,1,1,0,0.07875000000000001,
43,78,N1,N1-44,Patiya (Int.with Z1059) - Patiya Dakbanglo (Int.with Z1057),LRP264,3734,263.744,LRP264,4060,264.07,0.326,44357,2.0,12.0,590.5,441.0,401.0,319.5,653.5,98.0,420.0,2035.0,455.0,409.5,1578.0,0.0,5425.5,1987.5,7413.0,0,0,0,0,0.0,
44,79,N1,N1-45,Patiya Dakbanglo (Int.with Z1057) - Patiya (Int.with Z1039),LRP264,4060,264.07,LRP264,5400,265.41,1.34,44357,2.0,12.0,590.5,441.0,401.0,319.5,653.5,98.0,420.0,2035.0,455.0,409.5,1578.0,0.0,5425.5,1987.5,7413.0,1,0,0,0,0.005000000000000001,
45,80,N1,N1-46,Patiya (Int.with Z1039)-Khanhat Int.with Z1026,LRP264,5400,265.41,LRP277,1763,274.982,9.572000000000001,44357,2.0,12.0,590.5,441.0,401.0,319.5,653.5,98.0,420.0,2035.0,455.0,409.5,1578.0,0.0,5425.5,1987.5,7413.0,8,6,3,0,0.28,
46,81,N1,N1-47,Khanhat Int.with Z1026 - Hashimpur Z1036,LRP277,1763,274.982,LRP281,700,278.013,3.031,40132,2.0,11.5,393.0,618.5,472.0,46.0,633.5,54.5,405.5,3252.5,452.5,110.0,421.5,0.0,6339.5,531.5,6871.0,0,1,1,1,0.20875000000000002,
47,82,N1,N1-48,Hashimpur Z1036- Keranirhat N108,LRP281,700,278.013,LRP291,2558,289.612,11.599,40132,2.0,11.5,393.0,618.5,472.0,46.0,633.5,54.5,405.5,3252.5,452.5,110.0,421.5,0.0,6339.5,531.5,6871.0,10,2,1,0,0.13000000000000003,
48,83,N1,N1-49,Keranirhat N108 - Int.with Z1019,LRP291,2558,289.612,LRP291,2920,289.974,0.36200000000000004,40132,2.0,11.5,393.0,618.5,472.0,46.0,633.5,54.5,405.5,3252.5,452.5,110.0,421.5,0.0,6339.5,531.5,6871.0,1,0,0,0,0.005000000000000001,
49,84,N1,N1-50,"Int.with Z1019 - Lohagara, Bara Aulia (Int.with Z1013)",LRP291,2920,289.974,LRP299,2769,297.441,7.4670000000000005,40132,2.0,11.5,393.0,618.5,472.0,46.0,633.5,54.5,405.5,3252.5,452.5,110.0,421.5,0.0,6339.5,531.5,6871.0,11,1,0,0,0.07125000000000001,
50,85,N1,N1-51,"Lohagara, Bara Aulia (Int.with Z1013) - Chunati R171",LRP299,2769,297.441,LRP312,171,307.582,10.141,79800,2.0,21.0,1182.0,607.5,507.5,393.5,1012.5,172.5,506.5,834.0,389.5,321.0,364.0,0.0,5626.5,685.0,6311.5,21,2,0,0,0.1375,
51,86,N1,N1-52,Chunati R171 - Aziznagar Z1007,LRP312,171,307.582,LRP320,308,315.728,8.146,79800,2.0,21.0,1182.0,607.5,507.5,393.5,1012.5,172.5,506.5,834.0,389.5,321.0,364.0,0.0,5626.5,685.0,6311.5,15,1,0,0,0.09125000000000001,
52,87,N1,N1-53,Aziznagar (Int.with Z1007)-Harbang (Int.with Z1124),LRP320,308,315.728,LRP321,63,316.356,0.628,79800,2.0,21.0,1182.0,607.5,507.5,393.5,1012.5,172.5,506.5,834.0,389.5,321.0,364.0,0.0,5626.5,685.0,6311.5,0,0,0,0,0.0,
53,88,N1,N1-54,Harbang (Int.with Z1124) - Ekatabazar Z1125,LRP321,63,316.356,LRP328,485,323.842,7.486000000000001,79800,2.0,21.0,1182.0,607.5,507.5,393.5,1012.5,172.5,506.5,834.0,389.5,321.0,364.0,0.0,5626.5,685.0,6311.5,10,0,1,0,0.09750000000000002,
54,89,N1,N1-55,Ekatabazar Z1125 - Baraitali Int.with Z1002,LRP328,485,323.842,LRP331,844,327.188,3.346,24654,2.0,22.0,387.0,124.5,374.5,72.0,529.0,101.0,330.5,566.5,276.0,116.5,133.5,0.0,2783.0,250.0,3033.0,4,0,1,0,0.0675,
55,90,N1,N1-56,Baraitali Int.with Z1002-Int.with Z1126,LRP331,844,327.188,LRP335,500,330.874,3.6860000000000004,24654,2.0,22.0,387.0,124.5,374.5,72.0,529.0,101.0,330.5,566.5,276.0,116.5,133.5,0.0,2783.0,250.0,3033.0,3,1,0,0,0.03125,
56,91,N1,N1-57,Int.with Z1126-Janatabazar (Int.with Z1127),LRP335,500,330.874,LRP336,764,332.066,1.192,24654,2.0,22.0,387.0,124.5,374.5,72.0,529.0,101.0,330.5,566.5,276.0,116.5,133.5,0.0,2783.0,250.0,3033.0,1,0,1,1,0.1975,
57,92,N1,N1-58,Janatabazar (Int.with Z1127) - Chokoria R172,LRP336,764,332.066,LRP336,1575,332.87699999999995,0.8109999999999999,24654,2.0,22.0,387.0,124.5,374.5,72.0,529.0,101.0,330.5,566.5,276.0,116.5,133.5,0.0,2783.0,250.0,3033.0,0,0,0,0,0.0,
58,93,N1,N1-59,Chokoria R172 - Faishakhali Z1005,LRP336,1575,332.87699999999995,LRP341,852,337.31,4.433,35179,2.0,19.5,504.5,274.5,392.0,119.0,509.0,82.5,159.0,1255.5,721.5,214.0,2091.5,0.0,4037.0,2305.5,6342.5,4,1,1,0,0.08375000000000002,
59,94,N1,N1-60,Faishakhali Z1005- Dulahazra Z1130,LRP341,852,337.31,LRP348,96,343.559,6.249,18469,2.0,17.5,297.5,79.5,206.0,68.0,380.0,59.0,54.5,774.0,201.5,59.0,225.0,0.0,2137.5,284.0,2421.5,4,0,1,0,0.0675,
60,95,N1,N1-61,Dulahazra Z1130-Khutakhali Z1131,LRP348,96,343.559,LRP354,509,350.05400000000003,6.495,18469,2.0,17.5,297.5,79.5,206.0,68.0,380.0,59.0,54.5,774.0,201.5,59.0,225.0,0.0,2137.5,284.0,2421.5,4,2,3,0,0.195,
61,96,N1,N1-62,Khutakhali Z1131 - Ramu (Int.with Z1001),LRP354,509,350.05400000000003,LRP376,57,370.98199999999997,20.928,18469,2.0,17.5,297.5,79.5,206.0,68.0,380.0,59.0,54.5,774.0,201.5,59.0,225.0,0.0,2137.5,284.0,2421.5,30,1,2,0,0.26125000000000004,
62,97,N1,N1-63,Ramu (Int.with Z1001)-Ramu Intersection N109,LRP376,57,370.98199999999997,LRP378,593,373.475,2.4930000000000003,18469,2.0,17.5,297.5,79.5,206.0,68.0,380.0,59.0,54.5,774.0,201.5,59.0,225.0,0.0,2137.5,284.0,2421.5,6,1,0,0,0.046250000000000006,
63,98,N1,N1-64,Ramu Intersection N109 - Coxsbazar Link Road N110,LRP378,593,373.475,LRP386,724,381.481,8.006,18469,2.0,17.5,297.5,79.5,206.0,68.0,380.0,59.0,54.5,774.0,201.5,59.0,225.0,0.0,2137.5,284.0,2421.5,19,0,1,0,0.14250000000000002,
64,99,N1,N1-65,Coxsbazar Link Road N110-Maricha Z1009,LRP386,724,381.481,LRP403,217,398.205,16.724,14287,2.0,12.0,227.5,68.5,64.5,100.0,284.0,65.5,71.0,1238.0,209.5,48.5,521.0,0.0,2340.5,569.5,2910.0,24,12,21,2,1.6025000000000003,
65,100,N1,N1-66,Maricha Z1009-Ukhia Dakbanglo Z1503,LRP403,217,398.205,LRP413,300,408.434,10.229,14287,2.0,12.0,227.5,68.5,64.5,100.0,284.0,65.5,71.0,1238.0,209.5,48.5,521.0,0.0,2340.5,569.5,2910.0,8,3,9,1,0.6612500000000001,
66,101,N1,N1-67,Ukhia Dakbanglo Z1503 - Gundum Z1504,LRP413,300,408.434,LRP420,900,416.04400000000004,7.61,14287,2.0,12.0,227.5,68.5,64.5,100.0,284.0,65.5,71.0,1238.0,209.5,48.5,521.0,0.0,2340.5,569.5,2910.0,7,1,3,0,0.19375000000000003,
67,102,N1,N1-68,GundumGundum Z1504 - Whykong Z1133,LRP420,900,416.04400000000004,LRP433,521,428.908,12.864,14287,2.0,12.0,227.5,68.5,64.5,100.0,284.0,65.5,71.0,1238.0,209.5,48.5,521.0,0.0,2340.5,569.5,2910.0,22,11,22,7,2.3487500000000003,
68,103,N1,N1-69,Whykong Z1133 - Teknaf,LRP433,521,428.908,LRP467,130,462.254,33.346,14287,2.0,12.0,227.5,68.5,64.5,100.0,284.0,65.5,71.0,1238.0,209.5,48.5,521.0,0.0,2340.5,569.5,2910.0,74,25,38,3,3.0162500000000008,
69,104,N101,N101-1,Comilla (Balutopa)- Bibirbazar Land Port,LRPS,0,0.0,LRPE,0,6.021,6.021,41556,2.0,115.5,585.0,168.0,142.5,98.5,112.0,210.5,82.0,2725.0,310.5,98.0,206.5,0.0,4549.5,304.5,4854.0,0,0,0,0,0.0,
70,105,N102,N102-1,Mainamati-Kangsanagar (Intersection with Z1219),LRPS,0,0.0,LRP009,1110,10.206,10.206,41556,2.0,115.5,585.0,168.0,142.5,98.5,112.0,210.5,82.0,2725.0,310.5,98.0,206.5,0.0,4549.5,304.5,4854.0,7,1,1,0,0.09875,
71,106,N102,N102-2,Kangsanagar (Int with Z1219)-Debidduar (Int with Z1008),LRP009,1110,10.206,LRP018,2570,20.658,10.452,41556,2.0,115.5,585.0,168.0,142.5,98.5,112.0,210.5,82.0,2725.0,310.5,98.0,206.5,0.0,4549.5,304.5,4854.0,6,1,2,0,0.14125000000000001,
72,107,N102,N102-4,Companiganj (Int with Z1205) - Mirpur (Int with Z1041),LRP024,1242,20.658,LRP038,408,38.866,13.392999999999999,40580,1.988800119,173.9742454,422.36522,289.1190494,229.7867923,23.12952395,219.22766180000002,53.80128398,116.1504355,1269.609739,242.8600015,62.34915152,254.9275792,0.0,3040.023953,317.27673070000003,3357.300683,21,6,10,0,0.6775000000000001,
73,108,N102,N102-5,Mirpur (Int with Z1041)- Kuti (Int with Z1201),LRP038,408,38.866,LRP042,1928,44.427,5.561,40580,2.0,173.0,420.0,287.5,228.5,23.0,218.0,53.5,115.5,1262.5,241.5,62.0,253.5,0.0,3023.0,315.5,3338.5,5,3,0,0,0.07375000000000001,
74,109,N102,N102-6,Kuti (Int with Z1201)- Dharkhar (Int with Z1202),LRP042,1928,44.427,LRP055,1143,56.883,12.456,40580,1.924413937,179.794998,436.49652699999996,298.7922655,237.4748962,23.90338124,226.56248309999998,55.60134332,120.0365449,1312.087775,250.98550299999997,64.4352016,263.4568324,0.0,3141.735717,327.89203399999997,3469.627751,8,8,2,0,0.265,
75,110,N102,N102-7,Dharkhar (Int with Z1202)-Sultanpur (Int with Z1216),LRP055,1143,56.883,LRP062,169,63.06100000000001,6.178,40580,1.5,230.66666669999998,560.0,383.3333333,304.6666667,30.66666667,290.6666667,71.33333333,154.0,1683.3333329999998,322.0,82.66666667,338.0,0.0,4030.666667,420.66666669999995,4451.333333,3,3,2,0,0.15875,
76,111,N102,N102-8,Sultanpur (Int with Z1216)-Kuatali(Int. with N103),LRP062,169,63.06100000000001,LRP070,419,71.456,8.395,55172,1.830911257,53.52525943,738.4301096,629.1948863,392.1544517,103.22728599999999,477.35792589999994,96.67317264,279.64217169999995,3053.6706679999998,468.619108,114.1508084,568.5693374,0.0,6292.495039,682.7201457,6975.215184999999,4,3,3,1,0.35625000000000007,
